"DATASET","NLME_RESULT_ID","NLME_CURVE_ID","CELL_LINE_NAME","SANGER_MODEL_ID","CANCER_TYPE","DRUG_ID","DRUG_NAME","PUTATIVE_TARGET","PATHWAY_NAME","MIN_CONC","MAX_CONC","LN_IC50","AUC","RMSE","Z_SCORE","MAPK_flag","MAPK_status"
"GDSC2",343,16189701,"DiFi","SIDM00049","Colorectal Carcinoma",1908,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.010005,10,2.01366,0.838613,0.04461,-0.553822,NA,"Non-MAPK"
"GDSC2",343,15946531,"PFSK-1","SIDM01132","Other Solid Cancers",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.864469,0.97378,0.024321,0.421211,NA,"Non-MAPK"
"GDSC2",343,15946798,"A673","SIDM00848","Ewing's Sarcoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,0.027386,0.829611,0.08262,-1.424202,"MAPK","MAPK"
"GDSC2",343,15947337,"ES7","SIDM00269","Ewing's Sarcoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,0.039112,0.831203,0.095613,-1.416575,"MAPK","MAPK"
"GDSC2",343,15947619,"EW-11","SIDM00203","Ewing's Sarcoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,0.63074,0.856967,0.056528,-1.031744,NA,"Non-MAPK"
"GDSC2",343,15947899,"SK-ES-1","SIDM01111","Ewing's Sarcoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.146854,0.967437,0.079559,-0.04557,"MAPK","MAPK"
"GDSC2",343,15948179,"COLO-829","SIDM00909","Melanoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,1.569222,0.857292,0.061206,-0.421297,"MAPK","MAPK"
"GDSC2",343,15948458,"5637","SIDM00807","Bladder Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.129692,0.966193,0.020073,0.593729,"MAPK","MAPK"
"GDSC2",343,15948739,"RT4","SIDM01085","Bladder Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.734694,0.967661,0.05125,0.336797,NA,"Non-MAPK"
"GDSC2",343,15949020,"SW780","SIDM01160","Bladder Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.147593,0.962651,0.03699,0.605372,NA,"Non-MAPK"
"GDSC2",343,15949301,"TCCSUP","SIDM01190","Bladder Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,4.620268,0.982989,0.042503,1.56329,NA,"Non-MAPK"
"GDSC2",343,15949584,"C-33-A","SIDM00889","Cervical Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.097808,0.945259,0.025182,-0.077472,"MAPK","MAPK"
"GDSC2",343,15949863,"C-4-I","SIDM00905","Cervical Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,1.620323,0.941191,0.051908,-0.388058,"MAPK","MAPK"
"GDSC2",343,15950145,"ME-180","SIDM00627","Cervical Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.390132,0.973832,0.059254,0.763135,NA,"Non-MAPK"
"GDSC2",343,15950425,"42-MG-BA","SIDM00982","Glioblastoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.494716,0.980404,0.046537,0.831163,NA,"Non-MAPK"
"GDSC2",343,15950705,"8-MG-BA","SIDM00998","Glioblastoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.13565,0.983545,0.019216,0.597604,NA,"Non-MAPK"
"GDSC2",343,15950986,"A172","SIDM00799","Glioblastoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.740289,0.956656,0.043269,0.340437,NA,"Non-MAPK"
